contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
NDXP241108P19060000,2024-11-05 19:46:11+00:00,19060.0,16.6,0.0,20.0,0.0,0.0,1.0,1.0,1.000584831085205,0.0,REGULAR,USD,2024-11-08
NDXP241108P19075000,2024-11-06 14:46:36+00:00,19075.0,1.67,0.0,20.0,0.0,0.0,2.0,2.0,0.9940796490478516,0.0,REGULAR,USD,2024-11-08
NDXP241108P19080000,2024-11-06 14:30:24+00:00,19080.0,2.28,0.0,20.0,0.0,0.0,1.0,1.0,0.991912922668457,0.0,REGULAR,USD,2024-11-08
NDXP241108P19090000,2024-11-06 14:30:24+00:00,19090.0,2.34,0.0,20.0,0.0,0.0,1.0,2.0,0.987579469909668,0.0,REGULAR,USD,2024-11-08
NDXP241108P19100000,2024-11-07 15:38:25+00:00,19100.0,0.5,0.0,20.0,0.0,0.0,1.0,16.0,0.9832460171508789,0.0,REGULAR,USD,2024-11-08
NDXP241108P19110000,2024-11-01 15:29:27+00:00,19110.0,48.0,0.0,20.0,0.0,0.0,2.0,0.0,0.9789125643920901,0.0,REGULAR,USD,2024-11-08
NDXP241108P19125000,2024-11-04 19:02:02+00:00,19125.0,38.5,0.0,20.0,0.0,0.0,2.0,13.0,0.9724123852539062,0.0,REGULAR,USD,2024-11-08
NDXP241108P19150000,2024-11-06 20:46:28+00:00,19150.0,0.6,0.0,20.0,0.0,0.0,2.0,14.0,0.9615482360839842,0.0,REGULAR,USD,2024-11-08
NDXP241108P19160000,2024-11-05 19:47:13+00:00,19160.0,20.3,0.0,20.0,0.0,0.0,1.0,2.0,0.9572147833251952,0.0,REGULAR,USD,2024-11-08
NDXP241108P19170000,2024-11-04 17:56:43+00:00,19170.0,47.8,0.0,20.0,0.0,0.0,2.0,4.0,0.9528813305664061,0.0,REGULAR,USD,2024-11-08
NDXP241108P19175000,2024-11-07 17:40:13+00:00,19175.0,0.3,0.0,20.0,0.0,0.0,1.0,6.0,0.9507146041870116,0.0,REGULAR,USD,2024-11-08
NDXP241108P19180000,2024-11-06 14:30:24+00:00,19180.0,2.93,0.0,20.0,0.0,0.0,1.0,1.0,0.9485478778076171,0.0,REGULAR,USD,2024-11-08
NDXP241108P19190000,2024-11-06 14:47:07+00:00,19190.0,2.25,0.0,20.0,0.0,0.0,9.0,3.0,0.944214425048828,0.0,REGULAR,USD,2024-11-08
NDXP241108P19200000,2024-11-08 17:04:35+00:00,19200.0,0.05,0.0,20.0,-0.25,-83.33333,2.0,37.0,0.9398809722900392,0.0,REGULAR,USD,2024-11-08
NDXP241108P19210000,2024-11-06 16:33:12+00:00,19210.0,0.75,0.0,20.0,0.0,0.0,12.0,14.0,0.9355475195312499,0.0,REGULAR,USD,2024-11-08
NDXP241108P19225000,2024-11-07 18:33:02+00:00,19225.0,0.55,0.0,20.0,0.0,0.0,1.0,19.0,0.9290168231201172,0.0,REGULAR,USD,2024-11-08
NDXP241108P19230000,2024-11-05 14:40:32+00:00,19230.0,31.49,0.0,20.0,0.0,0.0,5.0,5.0,0.9268500967407226,0.0,REGULAR,USD,2024-11-08
NDXP241108P19240000,2024-11-06 14:30:25+00:00,19240.0,2.84,0.0,20.0,0.0,0.0,2.0,6.0,0.9225166439819336,0.0,REGULAR,USD,2024-11-08
NDXP241108P19250000,2024-11-07 18:00:37+00:00,19250.0,0.56,0.0,20.0,0.0,0.0,11.0,15.0,0.9181831912231445,0.0,REGULAR,USD,2024-11-08
NDXP241108P19260000,2024-11-05 19:47:13+00:00,19260.0,25.7,0.0,20.0,0.0,0.0,2.0,3.0,0.9138497384643555,0.0,REGULAR,USD,2024-11-08
NDXP241108P19275000,2024-11-07 14:53:02+00:00,19275.0,0.42,0.0,20.0,0.0,0.0,1.0,3.0,0.9073190420532226,0.0,REGULAR,USD,2024-11-08
NDXP241108P19280000,2024-11-05 16:30:13+00:00,19280.0,23.5,0.0,20.0,0.0,0.0,2.0,3.0,0.9051523156738281,0.0,REGULAR,USD,2024-11-08
NDXP241108P19300000,2024-11-07 17:12:45+00:00,19300.0,0.42,0.0,20.0,0.0,0.0,10.0,41.0,0.8964854101562498,0.0,REGULAR,USD,2024-11-08
NDXP241108P19310000,2024-11-07 21:04:58+00:00,19310.0,0.25,0.0,20.0,0.0,0.0,1.0,12.0,0.8921214401245117,0.0,REGULAR,USD,2024-11-08
NDXP241108P19320000,2024-11-08 16:52:36+00:00,19320.0,0.05,0.0,0.05,-0.56,-91.803276,9.0,7.0,0.5029346582031251,0.0,REGULAR,USD,2024-11-08
NDXP241108P19325000,2024-11-04 15:27:23+00:00,19325.0,76.4,0.0,20.0,0.0,0.0,1.0,1.0,0.8856212609863281,0.0,REGULAR,USD,2024-11-08
NDXP241108P19330000,2024-11-05 20:25:41+00:00,19330.0,30.6,0.0,20.0,0.0,0.0,9.0,12.0,0.8834545346069335,0.0,REGULAR,USD,2024-11-08
NDXP241108P19340000,2024-11-06 20:59:38+00:00,19340.0,0.97,0.0,20.0,0.0,0.0,3.0,16.0,0.8790905645751952,0.0,REGULAR,USD,2024-11-08
NDXP241108P19350000,2024-11-05 20:25:25+00:00,19350.0,31.7,0.0,20.0,0.0,0.0,7.0,16.0,0.8747571118164061,0.0,REGULAR,USD,2024-11-08
NDXP241108P19360000,2024-11-06 14:33:11+00:00,19360.0,3.77,0.0,20.0,0.0,0.0,10.0,5.0,0.8704236590576171,0.0,REGULAR,USD,2024-11-08
NDXP241108P19370000,2024-11-06 14:30:24+00:00,19370.0,3.51,0.0,20.0,0.0,0.0,2.0,11.0,0.8660596890258788,0.0,REGULAR,USD,2024-11-08
NDXP241108P19375000,2024-11-06 20:59:38+00:00,19375.0,1.03,0.0,20.0,0.0,0.0,1.0,4.0,0.8638929626464844,0.0,REGULAR,USD,2024-11-08
NDXP241108P19380000,2024-11-05 20:24:19+00:00,19380.0,34.5,0.0,20.0,0.0,0.0,12.0,7.0,0.86172623626709,0.0,REGULAR,USD,2024-11-08
NDXP241108P19390000,2024-11-05 19:47:13+00:00,19390.0,35.6,0.0,20.0,0.0,0.0,1.0,1.0,0.8573622662353515,0.0,REGULAR,USD,2024-11-08
NDXP241108P19400000,2024-11-06 17:24:05+00:00,19400.0,0.13,0.0,20.0,-0.97,-88.181816,1.0,6.0,0.8530288134765626,0.0,REGULAR,USD,2024-11-08
NDXP241108P19410000,2024-11-05 19:47:16+00:00,19410.0,37.6,0.0,20.0,0.0,0.0,1.0,1.0,0.8486801020812988,0.0,REGULAR,USD,2024-11-08
NDXP241108P19420000,2024-10-18 17:48:42+00:00,19420.0,128.1,0.0,20.0,0.0,0.0,1.0,1.0,0.8443313906860351,0.0,REGULAR,USD,2024-11-08
NDXP241108P19425000,2024-11-05 16:53:33+00:00,19425.0,35.3,0.0,20.0,0.0,0.0,3.0,2.0,0.8421646643066407,0.0,REGULAR,USD,2024-11-08
NDXP241108P19430000,2024-10-31 14:03:01+00:00,19430.0,144.1,0.0,20.0,0.0,0.0,3.0,5.0,0.8399674206542969,0.0,REGULAR,USD,2024-11-08
NDXP241108P19440000,2024-11-05 19:47:06+00:00,19440.0,40.6,0.0,20.0,0.0,0.0,1.0,7.0,0.8356339678955076,0.0,REGULAR,USD,2024-11-08
NDXP241108P19450000,2024-11-07 19:49:17+00:00,19450.0,0.45,0.0,20.0,0.0,0.0,1.0,9.0,0.8312699978637694,0.0,REGULAR,USD,2024-11-08
NDXP241108P19460000,2024-11-05 19:47:13+00:00,19460.0,42.7,0.0,20.0,0.0,0.0,11.0,11.0,0.8269365451049803,0.0,REGULAR,USD,2024-11-08
NDXP241108P19470000,2024-11-06 14:30:24+00:00,19470.0,4.39,0.0,20.0,0.0,0.0,2.0,2.0,0.8225725750732422,0.0,REGULAR,USD,2024-11-08
NDXP241108P19475000,2024-11-05 16:53:33+00:00,19475.0,41.55,0.0,20.0,0.0,0.0,3.0,4.0,0.8204058486938476,0.0,REGULAR,USD,2024-11-08
NDXP241108P19480000,2024-11-06 20:36:59+00:00,19480.0,0.75,0.0,20.0,0.0,0.0,1.0,7.0,0.8182086050415037,0.0,REGULAR,USD,2024-11-08
