contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
XOM250321P00085000,2024-11-08 17:50:20+00:00,85.0,0.19,0.08,0.25,-0.09,-32.142857,1.0,345.0,0.317389638671875,False,REGULAR,USD,2025-03-21
XOM250321P00090000,2024-11-08 20:58:18+00:00,90.0,0.33,0.3,0.33,0.02000001,6.451616,7.0,977.0,0.28784891845703114,False,REGULAR,USD,2025-03-21
XOM250321P00095000,2024-11-08 18:43:11+00:00,95.0,0.5,0.46,0.51,-0.07999998,-13.7931,32.0,1754.0,0.26758544921875,False,REGULAR,USD,2025-03-21
XOM250321P00100000,2024-11-08 19:55:45+00:00,100.0,0.81,0.72,0.85,-0.060000002,-6.8965516,41.0,3473.0,0.2528150891113281,False,REGULAR,USD,2025-03-21
XOM250321P00105000,2024-11-08 20:56:41+00:00,105.0,1.42,1.31,1.41,0.00999999,0.7092192,16.0,5880.0,0.23987576538085933,False,REGULAR,USD,2025-03-21
XOM250321P00110000,2024-11-08 20:45:38+00:00,110.0,2.33,2.19,2.31,0.0,0.0,103.0,3095.0,0.22901161621093752,False,REGULAR,USD,2025-03-21
XOM250321P00115000,2024-11-08 20:30:59+00:00,115.0,3.65,3.55,3.65,-0.099999905,-2.6666641,214.0,2912.0,0.21875781249999998,False,REGULAR,USD,2025-03-21
XOM250321P00120000,2024-11-08 20:47:28+00:00,120.0,5.75,5.45,5.65,0.19999981,3.6036,49.0,4517.0,0.2125933233642578,False,REGULAR,USD,2025-03-21
XOM250321P00125000,2024-11-08 19:57:51+00:00,125.0,8.13,8.15,8.3,-0.019999504,-0.2453927,53.0,517.0,0.20734435241699217,True,REGULAR,USD,2025-03-21
XOM250321P00130000,2024-11-06 20:05:02+00:00,130.0,11.3,11.5,11.65,0.0,0.0,2.0,536.0,0.20533021240234373,True,REGULAR,USD,2025-03-21
XOM250321P00135000,2024-11-07 14:49:43+00:00,135.0,16.3,15.25,16.5,0.0,0.0,1.0,47.0,0.24701680725097658,True,REGULAR,USD,2025-03-21
XOM250321P00140000,2024-10-15 14:25:54+00:00,140.0,20.6,19.55,20.45,0.0,0.0,1.0,1.0,0.23889921264648437,True,REGULAR,USD,2025-03-21
XOM250321P00145000,2024-10-08 14:43:12+00:00,145.0,23.55,0.0,0.0,0.0,0.0,,9.0,1.0000000000000003e-05,True,REGULAR,USD,2025-03-21
XOM250417P00060000,2024-10-03 18:11:31+00:00,60.0,0.03,0.0,0.28,0.0,0.0,1.0,2.0,0.5380905566406251,False,REGULAR,USD,2025-04-17
XOM250417P00065000,2024-08-28 13:32:45+00:00,65.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.2500075,False,REGULAR,USD,2025-04-17
XOM250417P00075000,2024-09-03 13:31:38+00:00,75.0,0.42,0.0,0.0,0.0,0.0,,0.0,0.12500875,False,REGULAR,USD,2025-04-17
XOM250417P00080000,2024-09-13 15:05:35+00:00,80.0,0.6,0.07,0.92,0.0,0.0,,118.0,0.4309138940429688,False,REGULAR,USD,2025-04-17
XOM250417P00085000,2024-11-06 20:26:18+00:00,85.0,0.11,0.11,0.42,0.0,0.0,3.0,111.0,0.31909860595703116,False,REGULAR,USD,2025-04-17
XOM250417P00090000,2024-10-31 15:27:32+00:00,90.0,0.74,0.23,0.53,0.0,0.0,1.0,64.0,0.28955788574218744,False,REGULAR,USD,2025-04-17
XOM250417P00095000,2024-11-08 18:16:52+00:00,95.0,0.67,0.62,0.66,-0.36999995,-35.57692,7.0,655.0,0.25928475097656256,False,REGULAR,USD,2025-04-17
XOM250417P00100000,2024-11-07 18:10:46+00:00,100.0,1.13,1.03,1.09,0.0,0.0,69.0,1122.0,0.24768818725585937,False,REGULAR,USD,2025-04-17
XOM250417P00105000,2024-11-07 18:58:05+00:00,105.0,1.72,1.44,1.75,-0.06999993,-3.910611,1.0,1229.0,0.23670196899414062,False,REGULAR,USD,2025-04-17
XOM250417P00110000,2024-11-08 19:32:12+00:00,110.0,2.69,2.59,2.72,-0.06999993,-2.5362294,33.0,2758.0,0.22571575073242187,False,REGULAR,USD,2025-04-17
XOM250417P00115000,2024-11-08 18:45:33+00:00,115.0,4.07,3.95,4.15,-0.029999733,-0.73170084,24.0,633.0,0.21674367248535154,False,REGULAR,USD,2025-04-17
XOM250417P00120000,2024-11-08 19:20:59+00:00,120.0,6.15,5.95,6.1,0.0,0.0,46.0,1230.0,0.20813780151367184,False,REGULAR,USD,2025-04-17
XOM250417P00125000,2024-11-08 19:15:00+00:00,125.0,8.75,8.55,8.9,0.029999733,0.34403363,29.0,462.0,0.20819883605957026,True,REGULAR,USD,2025-04-17
XOM250417P00130000,2024-11-08 18:21:23+00:00,130.0,12.15,11.85,12.0,-3.4000006,-21.864956,31.0,10.0,0.19959296508789062,True,REGULAR,USD,2025-04-17
XOM250417P00135000,2024-10-25 16:01:08+00:00,135.0,17.25,15.6,17.75,0.0,0.0,2.0,129.0,0.2714306256103516,True,REGULAR,USD,2025-04-17
XOM250417P00140000,2024-10-29 14:31:12+00:00,140.0,22.25,19.15,20.2,0.0,0.0,4.0,42.0,0.20569641967773436,True,REGULAR,USD,2025-04-17
XOM250417P00150000,2024-10-09 17:31:19+00:00,150.0,28.3,28.85,31.0,0.0,0.0,30.0,33.0,0.3089668713378906,True,REGULAR,USD,2025-04-17
XOM250620P00050000,2024-11-08 19:20:11+00:00,50.0,0.05,0.0,0.25,-0.09,-64.28571,2.0,177.0,0.500005,False,REGULAR,USD,2025-06-20
XOM250620P00055000,2024-09-05 14:01:53+00:00,55.0,0.15,0.05,0.27,0.0,0.0,1.0,165.0,0.5029346582031251,False,REGULAR,USD,2025-06-20
XOM250620P00060000,2024-10-18 16:46:48+00:00,60.0,0.13,0.02,1.32,0.0,0.0,10.0,440.0,0.5319871020507813,False,REGULAR,USD,2025-06-20
XOM250620P00065000,2024-10-14 17:20:01+00:00,65.0,0.13,0.06,0.3,0.0,0.0,10.0,141.0,0.41309180664062495,False,REGULAR,USD,2025-06-20
XOM250620P00070000,2024-11-01 14:41:31+00:00,70.0,0.22,0.06,0.15,0.0,0.0,1.0,252.0,0.331061376953125,False,REGULAR,USD,2025-06-20
XOM250620P00075000,2024-11-08 17:52:43+00:00,75.0,0.22,0.09,0.24,-0.09,-29.032257,1.0,533.0,0.3161689477539062,False,REGULAR,USD,2025-06-20
XOM250620P00080000,2024-11-06 18:16:40+00:00,80.0,0.37,0.22,0.68,0.0,0.0,12.0,3728.0,0.3403386279296875,False,REGULAR,USD,2025-06-20
XOM250620P00085000,2024-11-05 20:46:58+00:00,85.0,0.66,0.34,0.65,0.0,0.0,40.0,2204.0,0.295905478515625,False,REGULAR,USD,2025-06-20
XOM250620P00090000,2024-11-06 18:41:54+00:00,90.0,0.8,0.72,0.78,0.0,0.0,2.0,1566.0,0.26782958740234375,False,REGULAR,USD,2025-06-20
XOM250620P00095000,2024-11-08 19:50:02+00:00,95.0,1.14,1.13,1.18,-0.060000062,-4.5801573,15.0,3267.0,0.2557447473144532,False,REGULAR,USD,2025-06-20
XOM250620P00100000,2024-11-08 18:46:50+00:00,100.0,1.73,1.7,1.76,-0.00999999,-0.5747121,18.0,6884.0,0.24439232177734377,False,REGULAR,USD,2025-06-20
XOM250620P00105000,2024-11-08 19:47:47+00:00,105.0,2.57,2.52,2.6,-0.03999996,-1.5325656,475.0,10383.0,0.2345657598876953,False,REGULAR,USD,2025-06-20
XOM250620P00110000,2024-11-08 19:49:27+00:00,110.0,3.75,3.65,3.8,0.0,0.0,17.0,5767.0,0.2266312689208984,False,REGULAR,USD,2025-06-20
XOM250620P00115000,2024-11-08 19:50:40+00:00,115.0,5.25,5.2,5.35,-0.1500001,-2.7777796,18.0,3748.0,0.21778125976562498,False,REGULAR,USD,2025-06-20
XOM250620P00120000,2024-11-08 19:47:35+00:00,120.0,7.3,7.25,7.4,-0.099999905,-1.3513501,7.0,2633.0,0.21070125244140625,False,REGULAR,USD,2025-06-20
XOM250620P00125000,2024-11-08 19:51:55+00:00,125.0,9.7,9.8,10.2,-0.6000004,-5.8252463,1.0,4884.0,0.21070125244140625,True,REGULAR,USD,2025-06-20
XOM250620P00130000,2024-11-01 17:53:09+00:00,130.0,17.0,12.9,13.6,0.0,0.0,100.0,891.0,0.21454642883300779,True,REGULAR,USD,2025-06-20
