contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NDXP241107C21650000,2024-11-07 20:14:32+00:00,21650.0,0.04,0.0,20.0,-0.46,-92.0,8.0,17.0,0.38117836845397945,0.0,REGULAR,USD
NDXP241107C21675000,2024-11-07 20:05:26+00:00,21675.0,0.2,0.0,20.0,0.0,0.0,10.0,15.0,0.39360652786254885,0.0,REGULAR,USD
NDXP241107C21700000,2024-11-07 20:20:54+00:00,21700.0,0.05,0.0,0.05,-0.10000001,-66.66667,63.0,16.0,0.17188328125000002,0.0,REGULAR,USD
NDXP241107C21725000,2024-11-07 20:02:22+00:00,21725.0,0.05,0.0,20.0,-0.44,-89.79591,2.0,8.0,0.41817293258666993,0.0,REGULAR,USD
NDXP241107C21750000,2024-11-07 20:03:47+00:00,21750.0,0.1,0.0,0.1,-11.549999,-99.141624,24.0,2.0,0.19605296142578127,0.0,REGULAR,USD
NDXP241107C21775000,2024-11-06 14:37:32+00:00,21775.0,0.19,0.0,0.05,-0.31,-62.0,1.0,4.0,0.1914143359375,0.0,REGULAR,USD
NDXP241107C21800000,2024-11-07 16:52:55+00:00,21800.0,0.2,0.0,20.0,-0.2,-50.0,6.0,2.0,0.45430538375854496,0.0,REGULAR,USD
NDXP241107C21825000,2024-10-25 14:22:36+00:00,21825.0,0.16,0.0,20.0,-16.54,-99.041916,1.0,1.0,0.46619186157226566,0.0,REGULAR,USD
NDXP241107C21900000,2024-11-07 19:40:45+00:00,21900.0,0.05,0.0,0.05,-0.28,-84.84848,13.0,9.0,0.22315229980468748,0.0,REGULAR,USD
NDXP241107C21925000,2024-10-25 14:26:35+00:00,21925.0,11.6,0.0,20.0,0.0,0.0,6.0,6.0,0.5129366944122314,0.0,REGULAR,USD
NDXP241107C21950000,2024-10-30 13:34:49+00:00,21950.0,7.14,0.0,20.0,0.0,0.0,,15.0,0.5244493356323242,0.0,REGULAR,USD
NDXP241107C21975000,2024-11-06 14:44:31+00:00,21975.0,0.3,0.0,1.0,0.0,0.0,1.0,17.0,0.3232489550781249,0.0,REGULAR,USD
NDXP241107C22000000,2024-11-06 20:40:40+00:00,22000.0,0.15,0.0,20.0,0.0,0.0,13.0,34.0,0.5472686264801028,0.0,REGULAR,USD
NDXP241107C22025000,2024-11-06 15:16:29+00:00,22025.0,0.36,0.0,20.0,0.0,0.0,3.0,10.0,0.5585829054260254,0.0,REGULAR,USD
NDXP241107C22050000,2024-11-06 17:53:30+00:00,22050.0,0.21,0.0,20.0,0.0,0.0,3.0,7.0,0.5698437791442872,0.0,REGULAR,USD
NDXP241107C22100000,2024-11-05 20:07:06+00:00,22100.0,0.25,0.0,20.0,0.0,0.0,1.0,143.0,0.5124560473632812,0.0,REGULAR,USD
NDXP241107C22125000,2024-10-29 19:21:57+00:00,22125.0,6.22,0.0,20.0,0.0,0.0,,1.0,0.5225114888000488,0.0,REGULAR,USD
NDXP241107C22175000,2024-10-17 13:57:25+00:00,22175.0,9.4,0.0,20.0,0.0,0.0,,4.0,0.5425155612182618,0.0,REGULAR,USD
NDXP241107C22200000,2024-11-06 21:04:08+00:00,22200.0,0.05,0.0,20.0,0.0,0.0,3.0,4.0,0.5524336749267578,0.0,REGULAR,USD
NDXP241107C22250000,2024-11-07 17:53:39+00:00,22250.0,0.1,0.0,0.05,0.05,100.0,13.0,1.0,0.309577216796875,0.0,REGULAR,USD
NDXP241107C22300000,2024-11-05 15:21:35+00:00,22300.0,0.5,0.0,0.05,0.0,0.0,2.0,0.0,0.32129584960937496,0.0,REGULAR,USD
NDXP241107C22450000,2024-10-29 14:11:43+00:00,22450.0,1.8,0.0,20.0,0.0,0.0,,2.0,0.649615930633545,0.0,REGULAR,USD
NDXP241107C22600000,2024-10-29 14:11:43+00:00,22600.0,1.5,0.0,20.0,0.0,0.0,,2.0,0.7062407305908205,0.0,REGULAR,USD
NDXP241107C22750000,2024-10-11 13:30:43+00:00,22750.0,4.7,0.0,20.0,0.0,0.0,,1.0,0.7617516500854493,0.0,REGULAR,USD
NDXP241107C22775000,2024-10-11 13:30:43+00:00,22775.0,4.5,0.0,20.0,0.0,0.0,,1.0,0.7709068319702149,0.0,REGULAR,USD
NDXP241107C22825000,2024-10-16 14:28:36+00:00,22825.0,2.25,0.0,20.0,0.0,0.0,,2.0,0.7891256439208985,0.0,REGULAR,USD
NDXP241107C22850000,2024-10-16 14:27:48+00:00,22850.0,2.25,0.0,20.0,0.0,0.0,,1.0,0.7981892739868165,0.0,REGULAR,USD
NDXP241107C22875000,2024-10-16 14:28:42+00:00,22875.0,1.95,0.0,20.0,0.0,0.0,,4.0,0.8072223867797851,0.0,REGULAR,USD
NDXP241107C22900000,2024-10-16 14:28:53+00:00,22900.0,2.0,0.0,20.0,0.0,0.0,,2.0,0.8162554995727539,0.0,REGULAR,USD
NDXP241107C22925000,2024-10-16 14:27:48+00:00,22925.0,2.0,0.0,20.0,0.0,0.0,,1.0,0.8252428364562987,0.0,REGULAR,USD
NDXP241107C22975000,2024-10-16 14:28:53+00:00,22975.0,1.85,0.0,20.0,0.0,0.0,,1.0,0.8431412170410155,0.0,REGULAR,USD
NDXP241107C23025000,2024-10-16 14:28:38+00:00,23025.0,1.75,0.0,20.0,0.0,0.0,,2.0,0.8609633044433593,0.0,REGULAR,USD
NDXP241107C23050000,2024-10-11 13:30:43+00:00,23050.0,3.6,0.0,20.0,0.0,0.0,,1.0,0.8698133135986328,0.0,REGULAR,USD
NDXP241107C23225000,2024-10-11 13:30:43+00:00,23225.0,3.4,0.0,20.0,0.0,0.0,,1.0,0.9312445840454101,0.0,REGULAR,USD
NDXP241107C23275000,2024-10-23 16:26:51+00:00,23275.0,0.45,0.0,20.0,0.0,0.0,,0.0,0.9485783950805663,0.0,REGULAR,USD
NDXP241107C23400000,2024-10-14 17:33:41+00:00,23400.0,2.15,0.0,20.0,0.0,0.0,,1.0,0.9915467153930665,0.0,REGULAR,USD
NDXP241107C23450000,2024-10-16 17:55:21+00:00,23450.0,1.4,0.0,20.0,0.0,0.0,,2.0,1.0086109140014647,0.0,REGULAR,USD
NDXP241107C23475000,2024-10-16 17:55:21+00:00,23475.0,1.4,0.0,20.0,0.0,0.0,,1.0,1.0170947583007814,0.0,REGULAR,USD
NDXP241107C23500000,2024-10-16 17:55:21+00:00,23500.0,1.4,0.0,20.0,0.0,0.0,,2.0,1.0255786026000977,0.0,REGULAR,USD
NDXP241107C23600000,2024-11-06 19:56:28+00:00,23600.0,0.05,0.0,0.05,0.0,0.0,8.0,12.0,0.5898478515625001,0.0,REGULAR,USD
NDXP241108C17000000,2024-10-25 14:07:22+00:00,17000.0,3552.0,4105.8,4147.7,0.0,0.0,1.0,1.0,1.5515769491577145,1.0,REGULAR,USD
NDXP241108C17300000,2024-11-04 16:43:42+00:00,17300.0,2709.29,3805.9,3847.9,0.0,0.0,1.0,0.0,1.4461392439270022,1.0,REGULAR,USD
NDXP241108C17400000,2024-11-04 17:53:14+00:00,17400.0,2637.38,3706.0,3748.0,0.0,0.0,1.0,0.0,1.4116545530700686,1.0,REGULAR,USD
NDXP241108C17500000,2024-11-04 17:53:14+00:00,17500.0,2537.82,3606.0,3648.0,0.0,0.0,2.0,1.0,1.3762848568725583,1.0,REGULAR,USD
NDXP241108C17550000,2024-11-04 17:53:14+00:00,17550.0,2488.07,3556.0,3598.1,0.0,0.0,1.0,0.0,1.359103546295166,1.0,REGULAR,USD
NDXP241108C17700000,2024-11-07 14:50:02+00:00,17700.0,3252.29,3406.1,3448.2,376.15015,13.078299,1.0,3.0,1.307178146743774,1.0,REGULAR,USD
NDXP241108C18325000,2024-10-07 16:34:21+00:00,18325.0,1843.08,2469.7,2495.6,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD
NDXP241108C18350000,2024-10-07 16:34:21+00:00,18350.0,1820.72,2446.7,2472.5,0.0,0.0,,2.0,1.0000000000000003e-05,1.0,REGULAR,USD
NDXP241108C18375000,2024-10-07 16:34:21+00:00,18375.0,1798.49,2417.9,2443.9,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD
NDXP241108C18500000,2024-09-30 14:14:27+00:00,18500.0,1722.6,2061.7,2098.0,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD
NDXP241108C18625000,2024-11-05 15:00:31+00:00,18625.0,1581.35,2481.6,2523.7,0.0,0.0,1.0,1.0,0.9881592980957032,1.0,REGULAR,USD
NDXP241108C18650000,2024-11-05 15:00:31+00:00,18650.0,1556.55,2456.6,2498.7,0.0,0.0,1.0,1.0,0.9794618753051759,1.0,REGULAR,USD
NDXP241108C18800000,2024-10-23 19:28:19+00:00,18800.0,1379.74,2306.7,2348.8,0.0,0.0,1.0,0.0,0.9279792358398438,1.0,REGULAR,USD
NDXP241108C18900000,2024-09-13 15:31:47+00:00,18900.0,1142.4,1526.5,1566.6,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD
NDXP241108C18975000,2024-10-07 16:49:43+00:00,18975.0,1277.73,1822.3,1847.7,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD
NDXP241108C19000000,2024-10-07 16:49:43+00:00,19000.0,1257.41,1802.6,1828.4,0.0,0.0,2.0,3.0,1.0000000000000003e-05,1.0,REGULAR,USD
NDXP241108C19025000,2024-10-07 16:49:43+00:00,19025.0,1237.23,1773.2,1798.8,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD
NDXP241108C19075000,2024-11-04 15:43:07+00:00,19075.0,1038.75,2031.9,2073.9,0.0,0.0,3.0,3.0,0.8331620687866209,1.0,REGULAR,USD
NDXP241108C19100000,2024-11-04 15:43:07+00:00,19100.0,1016.55,2006.9,2049.0,0.0,0.0,3.0,4.0,0.8247545600891113,1.0,REGULAR,USD
NDXP241108C19125000,2024-10-07 17:02:23+00:00,19125.0,1167.35,1678.6,1703.9,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD
NDXP241108C19150000,2024-10-31 17:00:21+00:00,19150.0,928.74,1957.0,1999.0,0.0,0.0,,1.0,0.8076114820098877,1.0,REGULAR,USD
NDXP241108C19160000,2024-11-07 17:31:41+00:00,19160.0,1912.36,1929.9,1967.3,14.549927,0.7666693,,,0.6360815200805664,1.0,REGULAR,
