Indx,Call_ContractID,Call_Bid,Call_Ask,Call_Vol,Call_OI,Call_PrChg,Call_PrChgPct,Call_LastTrTime,Call_LastPr,Call_ImplVol,Call_ITM,Strike,Put_ITM,Put_ImplVol,Put_LastPr,Put_LastTrTime,Put_PrChgPct,Put_PrChg,Put_OI,Put_Vol,Put_Ask,Put_Bid,Put_ContractID
177,SPX230616C04000000,232.3,234.9,4881,0,0,0,18/05/2023 15:57,228.3,0.234886191,TRUE,4000,FALSE,0.175018931,17.22,19/05/2023 01:08,-5.901639,-1.0799999,0,11,17.5,17.2,SPXW230616P04000000
178,SPXW230616C04005000,227.8,231.8,3,0,0,0,18/05/2023 11:56,210.15,0.236755374,TRUE,4005,FALSE,0.173767723,19.05,18/05/2023 15:58,0,0,0,126,18,17.7,SPXW230616P04005000
179,SPX230616C04010000,222.5,227.2,120,0,0,0,18/05/2023 10:07,184.72,0.234363583,TRUE,4010,FALSE,0.17211979,19.77,18/05/2023 16:00,0,0,0,109,18.4,18.2,SPXW230616P04010000
180,SPXW230616C04015000,218.7,222.5,10,0,0,0,12/05/2023 15:45,158.57,0.231666619,TRUE,4015,FALSE,0.169090951,19.22,18/05/2023 16:06,0,0,0,162,18.4,18.1,SPX230616P04015000
181,SPXW230616C04020000,214.3,218.2,10,0,0,0,16/05/2023 10:50,154.09,0.230033945,TRUE,4020,FALSE,0.169342718,20.82,18/05/2023 16:00,0,0,0,239,19.4,19.2,SPXW230616P04020000
182,SPXW230616C04025000,209.7,213.6,4,0,0,0,18/05/2023 15:53,208.82,0.227550602,TRUE,4025,FALSE,0.166260474,20.38,18/05/2023 16:09,0,0,0,389,19.4,19.1,SPX230616P04025000
183,SPX230616C04030000,204.4,208.8,2,0,0,0,18/05/2023 10:25,181.49,0.224502689,TRUE,4030,FALSE,0.166348211,21.5,18/05/2023 16:10,0,0,0,87,20.4,20.1,SPXW230616P04030000
184,SPXW230616C04035000,201.2,205.1,3,0,0,0,15/05/2023 10:11,137.4,0.224334844,TRUE,4035,FALSE,0.163521548,23.8,18/05/2023 15:40,0,0,0,687,20.5,20.2,SPX230616P04035000
185,SPXW230616C04040000,196.6,200.4,8,0,0,0,16/05/2023 15:45,135.9,0.221481479,TRUE,4040,FALSE,0.163746613,23.1,18/05/2023 15:54,0,0,0,31,21.6,21.4,SPXW230616P04040000
186,SPXW230616C04045000,192.1,195.9,17,0,0,0,17/05/2023 10:56,134.1,0.21911639,TRUE,4045,FALSE,0.162350448,23.7,18/05/2023 15:54,0,0,0,23,22.2,21.9,SPXW230616P04045000
187,SPXW230616C04050000,187.7,191.5,8,0,0,0,18/05/2023 11:08,173.5,0.216972552,TRUE,4050,FALSE,0.160893248,22.2,18/05/2023 20:29,-6.8401136,-1.6299992,0,3,22.8,22.5,SPXW230616P04050000
188,SPXW230616C04055000,183.4,187.1,22,0,0,0,17/05/2023 12:32,136.1,0.214786752,TRUE,4055,FALSE,0.159371199,24.65,18/05/2023 15:57,0,0,0,36,23.4,23.1,SPXW230616P04055000
189,SPX230616C04060000,177.9,182.5,4,0,0,0,18/05/2023 15:18,163,0.212051642,TRUE,4060,FALSE,0.156357619,25.19,18/05/2023 15:45,0,0,0,95,23.5,23.2,SPX230616P04060000
190,SPX230616C04065000,173.7,178.2,4,0,0,0,18/05/2023 15:12,155.9,0.210037502,TRUE,4065,FALSE,0.156430097,27.63,18/05/2023 15:44,0,0,0,20,24.7,24.4,SPXW230616P04065000
